45 60
399
k: 6
1 6 5
1 7 5
2 4 5
3 3 5
3 5 5
3 6 5
3 7 5
3 8 5
3 9 5
4 4 5
4 5 5
4 6 5
4 8 5
5 3 5
5 5 5
5 7 5
6 2 5
6 3 5
6 4 5
6 5 5
6 8 5
6 9 5
6 10 5
6 25 1
6 26 1
6 28 1
6 29 1
7 2 5
7 4 5
7 5 5
7 6 5
7 7 5
7 8 5
7 9 5
7 10 5
7 24 1
7 26 1
7 27 1
7 28 1
7 29 1
7 30 1
8 2 5
8 3 5
8 4 5
8 5 5
8 7 5
8 20 1
8 25 1
8 27 1
8 28 1
8 29 1
8 31 1
8 32 1
9 3 5
9 6 5
9 7 5
9 8 5
9 9 5
9 21 1
9 24 1
9 25 1
9 27 1
9 29 1
9 30 1
9 31 1
9 32 1
9 33 1
9 34 1
10 2 5
10 3 5
10 5 5
10 7 5
10 8 5
10 10 5
10 22 1
10 25 1
10 27 1
10 28 1
10 30 1
10 31 1
10 33 1
10 34 1
10 36 1
10 37 1
11 4 5
11 5 5
11 7 5
11 9 5
11 12 5
11 22 1
11 23 1
11 27 1
11 30 1
11 31 1
11 32 1
11 33 1
11 34 1
12 3 5
12 4 5
12 6 5
12 7 5
12 10 5
12 11 5
12 25 1
12 27 1
12 29 1
12 31 1
12 51 6
12 52 6
12 53 6
13 5 5
13 6 5
13 8 5
13 9 5
13 24 1
13 26 1
13 28 1
13 30 1
13 32 1
13 33 1
14 7 5
14 25 1
14 26 1
14 27 1
14 28 1
14 29 1
14 30 1
14 32 1
14 33 1
14 49 6
14 50 6
14 51 6
14 54 6
14 55 6
14 56 6
15 4 5
15 5 5
15 9 5
15 10 5
15 24 1
15 26 1
15 28 1
15 29 1
15 31 1
15 32 1
15 51 6
15 52 6
15 53 6
16 23 1
16 27 1
16 29 1
16 30 1
16 32 1
16 33 1
16 52 6
16 53 6
16 54 6
17 22 1
17 26 1
17 28 1
17 50 6
17 51 6
17 52 6
17 53 6
17 55 6
17 56 6
17 57 6
18 31 1
18 49 6
18 53 6
18 54 6
18 55 6
18 56 6
19 45 6
19 47 6
19 48 6
19 49 6
19 50 6
19 51 6
19 52 6
19 54 6
19 55 6
19 56 6
20 51 6
20 52 6
20 53 6
20 54 6
21 48 6
21 49 6
21 50 6
21 55 6
21 56 6
21 57 6
22 50 6
22 51 6
22 52 6
22 53 6
23 53 6
23 54 6
23 55 6
23 56 6
24 50 6
24 51 6
24 52 6
24 53 6
25 55 6
25 56 6
25 57 6
26 2 2
26 3 2
26 4 2
26 7 2
26 8 2
26 52 6
26 53 6
26 54 6
27 3 2
27 5 2
27 6 2
27 7 2
27 8 2
28 4 2
28 6 2
28 7 2
28 9 2
28 10 2
28 11 2
28 12 2
28 29 3
28 30 3
29 2 2
29 3 2
29 5 2
29 6 2
29 7 2
29 8 2
29 29 3
29 30 3
29 32 3
29 33 3
29 36 3
30 2 2
30 3 2
30 4 2
30 5 2
30 7 2
30 10 2
30 11 2
30 26 3
30 27 3
30 31 3
30 32 3
30 33 3
30 35 3
31 1 2
31 2 2
31 3 2
31 5 2
31 6 2
31 9 2
31 10 2
31 26 3
31 27 3
31 29 3
31 30 3
31 33 3
31 34 3
32 2 2
32 3 2
32 6 2
32 7 2
32 25 3
32 26 3
32 28 3
32 29 3
32 32 3
32 33 3
33 3 2
33 4 2
33 5 2
33 7 2
33 8 2
33 9 2
33 26 3
33 27 3
33 30 3
33 31 3
33 33 3
34 5 2
34 6 2
34 7 2
34 28 3
34 29 3
34 30 3
34 32 3
34 35 3
35 1 2
35 2 2
35 3 2
35 26 3
35 27 3
35 30 3
35 31 3
35 33 3
35 53 4
36 3 2
36 4 2
36 5 2
36 25 3
36 26 3
36 27 3
36 29 3
36 30 3
36 31 3
36 33 3
36 34 3
36 35 3
36 52 4
36 53 4
36 54 4
36 55 4
37 24 3
37 26 3
37 27 3
37 30 3
37 31 3
37 50 4
37 53 4
37 54 4
37 55 4
37 56 4
38 23 3
38 29 3
38 30 3
38 31 3
38 33 3
38 34 3
38 35 3
38 48 4
38 51 4
38 52 4
38 53 4
38 54 4
38 55 4
39 21 3
39 26 3
39 27 3
39 28 3
39 29 3
39 30 3
39 31 3
39 33 3
39 34 3
39 35 3
39 49 4
39 50 4
39 51 4
39 54 4
39 55 4
39 56 4
39 57 4
40 32 3
40 48 4
40 51 4
40 52 4
40 53 4
40 54 4
41 26 3
41 27 3
41 29 3
41 30 3
41 31 3
41 47 4
41 49 4
41 52 4
41 55 4
41 56 4
41 57 4
41 58 4
42 28 3
42 29 3
42 30 3
42 32 3
42 33 3
42 34 3
42 50 4
42 53 4
42 54 4
42 55 4
42 56 4
43 26 3
43 27 3
43 30 3
43 31 3
43 49 4
43 52 4
43 53 4
43 54 4
43 55 4
